"Code","Name","Enabled","AdminUnit"
ReloadListAfterInstallApp,ReloadListAfterInstallApp,1,All employees
ReplyAllByTemplateAction,ReplyAllByTemplateAction,1,All employees
ReplyAllByTemplateAction,ReplyAllByTemplateAction,1,All portal users
ResolvedButtonMenuIsNotVisible,"",1,All employees
ReverseColumnOrderContentBuilderFeature,ReverseColumnOrderContentBuilderFeature,1,All employees
RunningProcessesOnMultipleRecordsFromSection,Running processes on multiple records from a section,1,All employees
RunReopenCaseAndNotifyAssigneeClass,RunReopenCaseAndNotifyAssigneeClass,1,All employees
RunReopenCaseAndNotifyAssigneeClass,RunReopenCaseAndNotifyAssigneeClass,1,All portal users
SafeEmailBodyCutting,"",1,All employees
SafeEmailBodyCutting,"",1,All portal users
SanitizeHtml,SanitizeHtml,1,All employees
SanitizeHtml,SanitizeHtml,1,All portal users
SectionPageWizard,SectionPageWizard,1,All employees
SecureEstimation,SecureEstimation,1,All employees
SecureEstimation,SecureEstimation,1,All portal users
SecurePortalMessage,"",1,All employees
SecurePortalMessage,"",1,All portal users
SecurePortalMessageFileInHistory,"",0,All employees
SecurePortalMessageFileInHistory,"",1,All portal users
SendEmailToCaseOnStatusChangeClass,SendEmailToCaseOnStatusChangeClass,1,All employees
SendEmailToCaseOnStatusChangeClass,SendEmailToCaseOnStatusChangeClass,1,All portal users
ServiceModelNetwork,ServiceModelNetwork,1,All employees
ServiceTerms,ServiceTerms,1,All employees
ServiceTerms,ServiceTerms,1,All portal users
SharedMailboxes,SharedMailboxes,1,All employees
ShowAllContactsAsOwner,ShowAllContactsAsOwner,1,All employees
ShowAllContactsAsOwner,ShowAllContactsAsOwner,1,All portal users
ShowBulkDuplicatesSummary,ShowBulkDuplicatesSummary,0,All employees
ShowEmailOnPortal,ShowEmailOnPortal,1,All employees
ShowEmailOnPortal,ShowEmailOnPortal,1,All portal users
ShowEmailOnPortalByCaseContact,"",1,All employees
ShowEmailOnPortalByCaseContact,"",1,All portal users
ShowESNOnSSP,ShowESNOnSSP,1,All employees
ShowESNOnSSP,ShowESNOnSSP,1,All portal users
ShowLinkedColumnsIcons,ShowLinkedColumnsIcons,1,All employees
ShowMobileDashboards,"Show ""Dashboards"" in mobile app",1,All employees
ShowOmniChatInCommPanel,Show omnichannel chat,1,All employees
SimplifyContactMention,SimplifyContactMention,0,All employees
SkipLoadMessagesOnMessageInsertedReceived,SkipLoadMessagesOnMessageInsertedReceived,1,All employees
SocialLeadGen,"",1,All employees
SocialLeadGenSection,SocialLeadGenSection,1,All employees
SSPRegistrationMailboxEnabled,SSPRegistrationMailboxEnabled,1,All employees
SSPRegistrationMailboxEnabled,SSPRegistrationMailboxEnabled,1,All portal users
SspSectionWizard,"",1,All employees
SSPUserContactPage,SSP user contact page,1,All employees
SSPUserContactPage,SSP user contact page,1,All portal users
SynchronizeLeadContact,"",1,All employees
SynchronizeLeadContact,"",1,All portal users
SyncOppWithFund,"",1,All employees
SyncOppWithFund,"",1,All portal users
TermCalculationLogging,TermCalculationLogging,1,All employees
Tracking,"",1,All employees
TrackingDemoData,"",0,All employees
TriggerEmailThrottlingQueue,"",1,All employees
UploadLargeFileByChunk,UploadLargeFileByChunk,1,All employees
